Simulation parameters: 
L = 16
seed = 1000
MODIFY = OFF
PRODUCTION = OFF
NUM_WORKERS = 26624
UPDATES PER WORKER = 22292

#iter | time in nsec
--------------------
    1 | 1.8894e+06
    2 | 7.5573e+06
    3 | 1.0508e+07
    4 |  1.309e+07
    5 | 1.5159e+07
    6 | 1.7214e+07
    7 | 1.9301e+07
    8 | 2.1061e+07
    9 | 2.2617e+07
   10 | 2.4682e+07
   11 | 2.6064e+07
   12 | 2.8171e+07
   13 | 2.9549e+07
   14 |  3.099e+07
   15 | 3.2878e+07
   16 | 3.4463e+07
   17 | 3.5853e+07
   18 | 3.7629e+07
   19 | 3.8995e+07
   20 | 4.0594e+07
   21 | 4.1842e+07
   22 |  4.319e+07
   23 | 4.4627e+07
   24 | 4.4614e+07
   25 | 4.4744e+07
   26 | 4.4752e+07
   27 | 4.4764e+07
   28 | 4.4834e+07
   29 | 4.4904e+07
   30 | 4.4975e+07
   31 | 4.5021e+07
   32 | 4.5094e+07
   33 | 4.5195e+07
   34 | 4.5254e+07
   35 | 4.5395e+07
   36 | 4.5486e+07
   37 | 4.5607e+07
   38 | 4.5747e+07
   39 | 4.5899e+07
   40 | 4.6035e+07
   41 | 4.6195e+07
   42 |  4.642e+07
   43 | 4.6654e+07
   44 |  4.685e+07
   45 |  4.712e+07
   46 | 4.7374e+07
   47 | 4.7686e+07
   48 | 4.8094e+07
   49 | 4.8442e+07
   50 | 4.8826e+07
   51 | 4.9266e+07
   52 | 4.9803e+07
   53 | 5.0372e+07
   54 | 5.0978e+07
   55 | 5.1639e+07
   56 | 5.2368e+07
   57 |  5.314e+07
   58 | 5.4044e+07
   59 | 5.5043e+07
   60 | 5.6089e+07
   61 | 5.7344e+07
   62 | 5.8617e+07
   63 | 6.0027e+07
   64 | 6.1593e+07
   65 | 6.3394e+07
   66 | 6.5291e+07
   67 | 6.7365e+07
   68 | 6.9736e+07
   69 | 7.2199e+07
   70 | 7.4928e+07
   71 | 7.8135e+07
   72 | 8.1463e+07
   73 | 8.5149e+07
   74 | 8.9231e+07
   75 | 9.3773e+07
   76 | 9.8688e+07
   77 | 1.0418e+08
   78 | 1.1008e+08
   79 | 1.1673e+08
   80 | 1.2393e+08
   81 | 1.3191e+08
   82 | 1.4071e+08
   83 | 1.5044e+08
   84 | 1.6091e+08
   85 | 1.7259e+08

Simulation finished after 85 iterations.
Total simulation time: 4.7711e+09 nsec
Average time per iteration: 5.613e+07 nsec
Average time per spin flip: 0.2165 nsec
total number of thermalization steps/Worker : 5.826e+05
total number of iteration updates   /Worker : 2.4514e+05
total number of all updates         /Worker : 8.2774e+05
